time	T1	T2	T3
2019-10-13T02:23:05	25	402	402
2019-10-13T02:23:15	25	402	402
2019-10-13T02:23:25	25	402	402
2019-10-13T02:23:35	25	402	402
2019-10-13T02:23:45	25	402	402
2019-10-13T02:23:55	25	402	402
2019-10-13T02:24:05	25	402	402
2019-10-13T02:24:15	25	402	402
2019-10-13T02:24:25	25	402	402
2019-10-13T02:24:35	25	402	402
2019-10-13T02:24:45	25	402	402
2019-10-13T02:24:55	25	402	402
2019-10-13T02:25:05	25	402	402
2019-10-13T02:25:15	25	402	402
2019-10-13T02:25:25	25	402	402
2019-10-13T02:25:35	25	402	402
2019-10-13T02:25:45	25	402	402
2019-10-13T02:25:55	25	402	402
2019-10-13T02:26:05	25	402	402
2019-10-13T02:26:15	25	402	402
2019-10-13T02:26:25	25	402	402
2019-10-13T02:26:35	25	402	402
2019-10-13T02:26:45	25	402	402
2019-10-13T02:26:55	25	402	402
2019-10-13T02:27:05	25	402	402
2019-10-13T02:27:15	25	402	402
2019-10-13T02:27:25	25	402	402
2019-10-13T02:27:35	25	402	402
2019-10-13T02:27:45	25	402	402
2019-10-13T02:27:55	25	402	402
2019-10-13T02:28:05	25	402	402
2019-10-13T02:28:15	25	402	402
2019-10-13T02:28:25	25	402	402
2019-10-13T02:28:35	25	402	402
2019-10-13T02:28:45	25	402	402
2019-10-13T02:28:55	25	401	402
2019-10-13T02:29:05	25	402	402
2019-10-13T02:29:15	25	402	402
2019-10-13T02:29:25	25	402	402
2019-10-13T02:29:35	25	401	402
2019-10-13T02:29:45	25	402	402
2019-10-13T02:29:55	25	402	402
2019-10-13T02:30:05	25	402	402
2019-10-13T02:30:15	25	402	402
2019-10-13T02:30:25	25	402	402
2019-10-13T02:30:35	25	402	402
2019-10-13T02:30:45	25	402	402
2019-10-13T02:30:55	25	401	402
2019-10-13T02:31:06	25	402	402
2019-10-13T02:31:16	25	402	402
2019-10-13T02:31:26	25	402	402
2019-10-13T02:31:36	25	402	402
2019-10-13T02:31:46	25	402	402
2019-10-13T02:31:56	25	402	402
