Время	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543925866258	-1	3	6	2	4	3	2	2	3	145	1
1543925876260	-1	3	6	2	4	3	2	2	3	145	1
1543925886260	-1	3	6	2	4	3	2	2	3	145	1
1543925896261	-1	3	6	2	4	3	2	2	3	145	1
1543925906262	-1	3	6	2	4	3	2	2	3	145	1
1543925916261	-1	3	5	2	4	3	2	2	3	146	1
1543925926262	-1	3	6	2	4	3	2	2	3	146	1
1543925936262	-1	3	6	2	4	3	2	2	3	146	1
1543925946263	-1	3	6	2	4	3	2	2	3	146	1
1543925956263	-1	3	6	2	4	3	2	2	3	146	1
1543925966264	-1	3	6	2	4	3	2	2	3	146	1
1543925976264	-1	3	6	2	4	3	2	2	3	146	1
1543925986265	-1	3	6	2	4	3	2	2	3	146	1
1543925996265	-1	3	6	2	4	3	2	2	3	146	1
1543926006265	-1	3	6	2	4	3	2	2	3	146	1
1543926016267	-1	3	6	2	4	3	2	2	3	146	1
1543926026267	-1	3	6	2	4	3	2	2	3	146	1
1543926036268	-1	3	6	2	4	3	3	3	3	146	1
1543926046268	-1	2	6	2	4	3	2	2	3	146	1
1543926056268	-1	3	6	2	4	3	3	2	3	146	1
1543926066270	-1	2	5	2	4	3	3	2	3	146	1
1543926076271	-1	3	6	2	4	3	3	2	3	146	1
1543926086273	-1	2	6	2	4	3	2	3	3	146	1
1543926096274	-1	2	6	2	4	3	3	2	3	146	1
1543926106273	-1	2	6	2	4	3	3	2	3	146	1
1543926116274	-1	3	6	2	4	3	3	2	3	146	1
1543926126275	-1	3	6	2	4	3	3	2	3	146	1
1543926136275	-1	3	6	2	4	3	3	2	3	147	1
1543926146275	-1	2	6	2	4	3	3	2	3	147	1
1543926156274	-1	2	6	2	4	3	3	2	3	147	1
1543926166275	-1	3	6	2	4	3	3	2	3	147	1
1543926176276	-1	2	6	2	4	2	3	2	3	147	1
1543926186278	-1	2	6	2	4	2	3	2	3	147	1
1543926196278	-1	2	6	2	4	2	3	2	3	147	1
1543926206278	-1	2	6	2	4	3	3	2	3	147	1
1543926216278	-1	2	6	2	4	3	3	2	3	147	1
1543926226278	-1	2	6	2	4	3	3	2	3	147	1
1543926236279	-1	2	6	2	4	3	2	2	3	147	1
1543926246280	-1	3	6	2	4	3	3	2	3	147	1
1543926256281	-1	2	6	2	4	3	3	2	3	147	1
